time,brain_cells,reconstruction_n_cells,all_generated_cells,state_sha256
0.0,11397,11397,50000,0a8da2286bb583e0d3ec2abcf8fb63df22067cf90356b9aa761cb0f832f87911
0.25,13108,13108,56678,41ff4ecfd3ce27e2135537ffa5040d97414ef9cf4fc1b8d98b67071a1d7f4586
0.5,15055,15055,63294,c93ced84bc95840fed0fbc8a8af2c72fbc152cadad35f3c83dce9fd7e86ab1f1
0.75,17019,17019,69774,63a4ac5420ba076fb9396e11598a2408aaa743451e4469e40e1ca64cbb26da06
1.0,18429,18429,76023,e9a06dbde3e5dc87e5c6274e4dbcfe37483a94ae87250c27e24c04bd8b2c7df1
1.25,19975,19975,81521,4f64675bf168746494cb9f78c73ea8f748146d2593f3caad02fdce8f1ff0fdd4
1.5,21568,21568,86643,df6fcdbb8750a2fb2be291f544ccb037abbeb557b7ad79fc0b1cbcad2a3d205b
1.75,23255,23255,91112,c821fdd82ee10c44212d1cd2576c43c372e9bd8f71ad911e501fb726d78e3116
2.0,24684,24684,94897,14be08446516f28f7b669debc432409ed030a1506144f94c5d532f1f25112daf
2.25,25919,25919,98198,322c98cf0b456847633cbdaa7ffdad96b9ad384ae956e69be591096ff844402d
2.5,26952,26952,100920,f06bd310f43bd538c0806bce64da4ccafd05db5f0f8576988f164bd3dfe3f2c5
2.75,27454,27454,103271,106ab1cefc17bdbca0b7df2844ee3fc435d15c5365b668238676071bec491ee8
3.0,27595,27595,105165,5d68a7778d6ac70ce9d4232b1a3827ea6784c73908bf7828bc5bbd8e4735e78b
